"first_name","people_id","name","middle_name","last_name","nickname","party_id","party","role_id","role","district","followthemoney_eid","votesmart_id","opensecrets_id","ballotpedia","knowwho_pid","committee_id","gender","Female"
"Aaron",15878,"Aaron Ford","D.","Ford","",1,"D",2,"Sen","SD-011",6508433,121935,NA,"Aaron_Ford",309910,0,"male",0
"Al",19225,"Al Kramer","","Kramer","",2,"R",1,"Rep","HD-040",9760420,169411,NA,"Al_Kramer",574373,0,"male",0
"Alexander",21173,"Alexander Assefa","","Assefa","",1,"D",1,"Rep","HD-042",45285416,181011,NA,"Alexander_Assefa",659392,0,"male",0
"Alexis",21178,"Alexis Hansen","M.","Hansen","",2,"R",1,"Rep","HD-032",44890960,180994,NA,"Alexis_Hansen",659230,0,"female",1
"Allison",8566,"Allison Copening","","Copening","",1,"D",2,"Sen","SD-006",13012996,106864,NA,"Allison_Copening",272126,0,"female",1
"Amber",17513,"Amber Joiner","","Joiner","",1,"D",1,"Rep","HD-024",16010823,156160,NA,"Amber_Joiner",523050,0,"female",1
"Andrew",15873,"Andrew Martin","","Martin","",1,"D",1,"Rep","HD-009",13009032,106986,NA,"Andrew_Martin",407400,0,"male",0
"Andy",15871,"Andy Eisen","","Eisen","",1,"D",1,"Rep","HD-021",9691987,137760,NA,"Andy_Eisen",407459,0,"male",0
"Andy",22768,"Andy Matthews","","Matthews","",2,"R",1,"Rep","HD-037",39827568,166263,NA,"Andy_Matthews",547734,0,"male",0
"Angela",24825,"Angie Taylor","","Taylor","Angie",1,"D",1,"Rep","HD-027",55496537,121893,NA,"Angie_Taylor",310104,0,"female",1
"Ann",22797,"Annie Black","","Black","Annie",2,"R",1,"Rep","HD-019",6691425,121815,NA,"Annie_Black",735980,0,"female",1
"April",8503,"April Mastroluca","","Mastroluca","",1,"D",1,"Rep","HD-029",6491161,107040,NA,"April_Mastroluca",272131,0,"female",1
"Barbara",8509,"Barbara Buckley","","Buckley","",1,"D",1,"Rep","HD-008",13009011,9042,NA,"Barbara_Buckley",0,0,"female",1
"Barbara",8557,"Barbara Cegavske","Katherine","Cegavske","",2,"R",2,"Sen","SD-008",6580968,12503,NA,"Barbara_Cegavske",197552,0,"female",1
"Beatrice",21175,"Bea Duran","","Duran","Bea",1,"D",1,"Rep","HD-011",49742581,186121,NA,"Beatrice_Duran",693563,0,"female",1
"Becky",17445,"Becky Harris","","Harris","",2,"R",2,"Sen","SD-009",13789841,137764,NA,"Becky_Harris",407461,0,"female",1
"Ben",12093,"Ben Kieckhefer","","Kieckhefer","",2,"R",2,"Sen","SD-016",6686559,121952,NA,"Ben_Kieckhefer",292349,0,"male",0
"Bernice",8552,"Bernice Mathews","Martin","Mathews","",1,"D",2,"Sen","SD-001",6395613,2619,NA,"Bernice_Mathews",213925,0,"female",1
"Bernie",8495,"Bernie Anderson","","Anderson","",1,"D",1,"Rep","HD-031",6395692,9035,NA,"Bernard_Anderson",0,0,"male",0
"Bert",24698,"Bert Gurr","","Gurr","",2,"R",1,"Rep","HD-033",55496548,204095,NA,"Bert_Gurr",806881,0,"male",0
"Bob",8568,"Bob Coffin","","Coffin","",1,"D",2,"Sen","SD-010",1883074,2623,NA,"Bob_Coffin",211806,0,"male",0
"Bonnie",8489,"Bonnie Parnell","","Parnell","",1,"D",1,"Rep","HD-040",13009123,22805,NA,"Bonnie_Parnell",197590,0,"female",1
"Brent",17514,"Brent Jones","A.","Jones","",2,"R",1,"Rep","HD-035",13790020,137693,NA,"Brent_Jones",407324,0,"male",0
"Brian",24699,"Brian Hibbetts","","Hibbetts","",2,"R",1,"Rep","HD-013",40349486,204187,NA,"Brian_Hibbetts",806640,0,"male",0
"Brittney",19229,"Brittney Miller","","Miller","",1,"D",1,"Rep","HD-005",39827574,169513,NA,"Brittney_Miller",574124,0,"female",1
"Cameron",22830,"Cameron Miller","","Miller","C H",1,"D",1,"Rep","HD-007",49742570,191103,NA,"Cameron_Miller",735928,0,"male",0
"Carrie",22753,"Carrie Buck","Ann","Buck","",2,"R",2,"Sen","SD-005",39827444,169487,NA,"Carrie_Buck_(Nevada)",574109,0,"female",1
"Cecelia",22756,"Cecelia Gonzalez","","Gonzalez","",1,"D",1,"Rep","HD-016",49742594,191131,NA,"Cecelia_González",735962,0,"female",1
"Chad",8528,"Chad Christensen","","Christensen","",2,"R",1,"Rep","HD-013",6596699,43805,NA,"Chad_Christensen_(Nevada)",211793,0,"male",0
"Chris",19222,"Chris Brooks","","Brooks","",1,"D",1,"Rep","SD-003",9693988,169534,NA,"Chris_Brooks",574130,0,"male",0
"Christopher",17515,"Christopher Edwards","","Edwards","Chris",2,"R",1,"Rep","HD-019",15842513,135889,NA,"Chris_Edwards_(Nevada)",405328,0,"male",0
"Cinthia",25741,"Cinthia Zermeno Moore","","Zermeno Moore","",1,"D",1,"Rep","HD-011",59832306,180969,NA,"Cinthia_Moore",0,0,"female",1
"Clara",22832,"Clara Thomas","","Thomas","Claire",1,"D",1,"Rep","HD-017",49742598,191136,NA,"Clara_Thomas",735973,0,"female",1
"Connie",21182,"Connie Munk","S.","Munk","",1,"D",1,"Rep","HD-004",45285502,180954,NA,"Connie_Munk",659317,0,"female",1
"Cresent",12728,"Cresent Hardy","","Hardy","",2,"R",1,"Rep","HD-019",13009059,121872,NA,"Cresent_Hardy",310070,0,"male",0
"Dallas",21171,"Dallas Harris","","Harris","",1,"D",2,"Sen","SD-011",47065007,186124,NA,"Dallas_Harris",689868,0,"female",1
"Daniele",19230,"Daniele Monroe-Moreno","","Monroe-Moreno","",1,"D",1,"Rep","HD-001",24821003,169498,NA,"Daniele_Monroe-Moreno",574116,0,"female",1
"Danielle",24696,"Danielle Gallant","","Gallant","",2,"R",1,"Rep","HD-023",45011178,204208,NA,"Danielle_Gallant",806785,0,"female",1
"David",8516,"David Bobzien","","Bobzien","",1,"D",1,"Rep","HD-024",6015157,44013,NA,"David_Bobzien",249431,0,"male",0
"David",8563,"David Parks","","Parks","",1,"D",2,"Sen","SD-007",13009126,12540,NA,"David_Parks",197591,0,"male",0
"David",17516,"David Gardner","M.","Gardner","",2,"R",1,"Rep","HD-009",23560453,152779,NA,"David_M._Gardner",491426,0,"male",0
"David",22758,"David Orentlicher","","Orentlicher","",1,"D",1,"Rep","HD-020",13000434,33994,NA,"David_Orentlicher_(Nevada)",212320,0,"male",0
"Dean",8564,"Dean Rhoads","A.","Rhoads","",2,"R",2,"Sen","SD-RURAL",6639459,2627,NA,"Dean_Rhoads",197542,0,"male",0
"Debbie",8501,"Debbie Smith","","Smith","",1,"D",2,"Sen","SD-013",6395677,43880,NA,"Debbie_Smith",205505,0,"female",1
"Dennis",8562,"Dennis Nolan","","Nolan","",2,"R",2,"Sen","SD-009",13009030,9063,NA,"Dennis_Nolan",197560,0,"male",0
"Derek",17517,"Derek Armstrong","W.","Armstrong","",2,"R",1,"Rep","HD-021",23593100,152821,NA,"Derek_Armstrong",490314,0,"male",0
"Dina",12213,"Dina Neal","","Neal","",1,"D",1,"Rep","HD-007",13009010,121828,NA,"Dina_Neal",309643,0,"female",1
"Dominic",17977,"Dominic Brunetti","","Brunetti","",2,"R",1,"Rep","HD-025",0,0,NA,"Dominic_Brunetti",600494,0,"male",0
"Don",8512,"Don Gustavson","","Gustavson","",2,"R",2,"Sen","SD-014",13009088,12531,NA,"Don_Gustavson",197582,0,"male",0
"Don",22975,"Don Tatro","","Tatro","",2,"R",2,"Sen","SD-016",0,0,NA,"",0,0,"male",0
"Duy",24703,"Duy Nguyen","","Nguyen","",1,"D",1,"Rep","HD-008",55496451,204172,NA,"Duy_Nguyen_(Nevada)",806485,0,"male",0
"Edgar",17518,"Edgar Flores","","Flores","",1,"D",1,"Rep","HD-028",23594326,152832,NA,"Edgar_Flores",491441,0,"male",0
"Edwin",8526,"Edwin Goedhart","","Goedhart","Ed",2,"R",1,"Rep","HD-036",6670172,67457,NA,"Edwin_Goedhart",249438,0,"male",0
"Elaine",22829,"Elaine Marzola","","Marzola","",1,"D",1,"Rep","HD-021",49742613,191161,NA,"Elaine_Marzola",735991,0,"female",1
"Elizabeth",12250,"Elizabeth Halseth","","Halseth","",2,"R",2,"Sen","SD-009",6691637,121855,NA,"Elizabeth_Halseth",309902,0,"female",1
"Ellen",8481,"Ellen Koivisto","M.","Koivisto","",1,"D",1,"Rep","HD-014",6395589,12511,NA,"Ellen_Koivisto",197561,0,"female",1
"Ellen",8513,"Ellen Spiegel","","Spiegel","",1,"D",1,"Rep","HD-020",6491182,107017,NA,"Ellen_Spiegel",272130,0,"female",1
"Elliot",8570,"Elliot Anderson","T.","Anderson","",1,"D",1,"Rep","HD-015",6508318,121859,NA,"Elliot_Anderson",309988,0,"male",0
"Erica",24702,"Erica Mosca","","Mosca","",1,"D",1,"Rep","HD-014",55496489,169547,NA,"Erica_Mosca",574133,0,"female",1
"Erven",17519,"Erven Nelson","","Nelson","Erv",2,"R",1,"Rep","HD-005",23560427,152770,NA,"Erv_Nelson",491422,0,"male",0
