"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.79.1",8466,"Heidi Gansert",79,2,"R",2,"Sen","SD-015",55,11,8.72727272727273,5,1,0,0,1,1,0
"WPSA.L.80.1",8466,"Heidi Gansert",80,2,"R",2,"Sen","SD-015",1,0,NA,NA,1,0,0,1,1,1
"WPSA.L.81.1",8466,"Heidi Gansert",81,2,"R",2,"Sen","SD-015",60,15,9.1,7,1,0,0,1,1,1
"WPSA.L.82.1",8466,"Heidi Gansert",82,2,"R",2,"Sen","SD-015",76,22,6.02631578947368,3,1,0,0,1,0,0
"WPSA.L.77.1",8467,"Tom Grady",77,2,"R",1,"Rep","HD-038",107,4,9.24299065420561,7,1,0,0,0,1,1
"WPSA.L.77.2",8468,"John Hambrick",77,2,"R",1,"Rep","HD-002",101,9,9.08910891089109,6,1,0,0,0,0,0
"WPSA.L.78.1",8468,"John Hambrick",78,2,"R",1,"Rep","HD-002",49,14,7.6530612244898,6,1,0,0,0,1,1
"WPSA.L.79.2",8468,"John Hambrick",79,2,"R",1,"Rep","HD-002",33,6,12.3030303030303,7,1,0,0,0,0,0
"WPSA.L.80.2",8468,"John Hambrick",80,2,"R",1,"Rep","HD-002",14,3,10.7857142857143,9.5,1,0,0,0,0,0
"WPSA.L.77.3",8469,"Joseph Hardy",77,2,"R",2,"Sen","SD-012",114,23,8.04385964912281,4,1,0,0,0,1,1
"WPSA.L.78.2",8469,"Joseph Hardy",78,2,"R",2,"Sen","SD-012",59,20,3.10169491525424,2,1,0,0,0,1,1
"WPSA.L.79.3",8469,"Joseph Hardy",79,2,"R",2,"Sen","SD-012",59,18,5.16949152542373,4,1,0,0,0,0,0
"WPSA.L.80.3",8469,"Joseph Hardy",80,2,"R",2,"Sen","SD-012",78,32,5.11538461538461,2,1,0,0,0,1,0
"WPSA.L.81.2",8469,"Joseph Hardy",81,2,"R",2,"Sen","SD-012",90,20,4.5,3,1,0,0,0,1,0
"WPSA.L.82.2",8469,"Joseph Hardy",82,2,"R",2,"Sen","SD-012",1,0,4,4,1,0,0,0,0,0
"WPSA.L.77.4",8470,"James Settelmeyer",77,2,"R",2,"Sen","SD-017",103,22,12.3495145631068,8,1,0,0,0,0,0
"WPSA.L.78.3",8470,"James Settelmeyer",78,2,"R",2,"Sen","SD-017",78,18,9.62820512820513,5.5,1,0,0,0,1,1
"WPSA.L.79.4",8470,"James Settelmeyer",79,2,"R",2,"Sen","SD-017",67,20,9.74626865671642,5,1,0,0,0,1,1
"WPSA.L.80.4",8470,"James Settelmeyer",80,2,"R",2,"Sen","SD-017",83,29,6.02409638554217,2,1,0,0,0,1,1
"WPSA.L.81.3",8470,"James Settelmeyer",81,2,"R",2,"Sen","SD-017",79,25,5.08860759493671,2,1,0,0,0,1,1
"WPSA.L.77.5",8471,"Melissa Woodbury",77,2,"R",1,"Rep","HD-023",54,3,21.7037037037037,16,1,0,0,1,0,0
"WPSA.L.78.4",8471,"Melissa Woodbury",78,2,"R",1,"Rep","HD-023",30,5,17.0333333333333,15,1,0,0,1,0,0
"WPSA.L.79.5",8471,"Melissa Woodbury",79,2,"R",1,"Rep","HD-023",20,5,25.45,14.5,1,0,0,1,1,1
"WPSA.L.77.6",8472,"Lynn Stewart",77,2,"R",1,"Rep","HD-022",112,12,14.7142857142857,11.5,1,0,0,0,1,1
"WPSA.L.78.5",8472,"Lynn Stewart",78,2,"R",1,"Rep","HD-022",55,9,13.8,11,1,0,0,0,0,0
"WPSA.L.79.6",8472,"Lynn Stewart",79,2,"R",1,"Rep","HD-022",1,0,5,5,1,0,0,0,0,0
"WPSA.L.77.7",8474,"Mark Manendo",77,1,"D",2,"Sen","SD-021",90,12,12.4888888888889,9,0,1,0,0,0,0
"WPSA.L.78.6",8474,"Mark Manendo",78,1,"D",2,"Sen","SD-021",105,11,9.86666666666667,7,0,1,0,0,0,0
"WPSA.L.79.7",8474,"Mark Manendo",79,1,"D",2,"Sen","SD-021",123,13,9.26829268292683,7,0,1,0,0,0,0
"WPSA.L.80.5",8474,"Mark Manendo",80,1,"D",2,"Sen","SD-021",3,0,9.33333333333333,8,0,1,0,0,0,0
"WPSA.L.77.8",8488,"Sheila Leslie",77,1,"D",2,"Sen","SD-001",2,1,3.5,3.5,0,1,0,1,0,0
"WPSA.L.77.9",8490,"John Oceguera",77,1,"D",1,"Rep","HD-016",2,0,8.5,8.5,0,1,0,0,0,0
"WPSA.L.77.10",8491,"Joseph Hogan",77,1,"D",1,"Rep","HD-010",55,3,14.5272727272727,9,0,1,0,0,0,0
"WPSA.L.78.7",8491,"Joseph Hogan",78,1,"D",1,"Rep","HD-010",1,0,15,15,0,1,0,0,0,0
