"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","MeanNormPos","MedianNormPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.79.1",8466,"Heidi Gansert",79,2,"R",2,"Sen","SD-015",55,11,8.72727272727273,5,0.460046307060374,0.380952380952381,1,0,0,1,1,0
"WPSA.L.80.1",8466,"Heidi Gansert",80,2,"R",2,"Sen","SD-015",1,0,NA,NA,NA,NA,1,0,0,1,1,1
"WPSA.L.81.1",8466,"Heidi Gansert",81,2,"R",2,"Sen","SD-015",60,15,9.1,7,0.740029973046277,0.898989898989899,1,0,0,1,1,1
"WPSA.L.82.1",8466,"Heidi Gansert",82,2,"R",2,"Sen","SD-015",76,22,6.02631578947368,3,0.551754780009606,0.5,1,0,0,1,0,0
"WPSA.L.77.1",8467,"Tom Grady",77,2,"R",1,"Rep","HD-038",107,4,9.24299065420561,7,0.52968324358152,0.5,1,0,0,0,1,1
"WPSA.L.77.2",8468,"John Hambrick",77,2,"R",1,"Rep","HD-002",101,9,9.08910891089109,6,0.446533596429763,0.411764705882353,1,0,0,0,0,0
"WPSA.L.78.1",8468,"John Hambrick",78,2,"R",1,"Rep","HD-002",49,14,7.6530612244898,6,0.53409527700876,0.5,1,0,0,0,1,1
"WPSA.L.79.2",8468,"John Hambrick",79,2,"R",1,"Rep","HD-002",33,6,12.3030303030303,7,0.572301028279289,0.571428571428571,1,0,0,0,0,0
"WPSA.L.80.2",8468,"John Hambrick",80,2,"R",1,"Rep","HD-002",14,3,10.7857142857143,9.5,0.550111556078455,0.535714285714286,1,0,0,0,0,0
"WPSA.L.77.3",8469,"Joseph Hardy",77,2,"R",2,"Sen","SD-012",114,23,8.04385964912281,4,0.60475323726564,0.666666666666667,1,0,0,0,1,1
"WPSA.L.78.2",8469,"Joseph Hardy",78,2,"R",2,"Sen","SD-012",59,20,3.10169491525424,2,0.600256758307606,0.6,1,0,0,0,1,1
"WPSA.L.79.3",8469,"Joseph Hardy",79,2,"R",2,"Sen","SD-012",59,18,5.16949152542373,4,0.658292321717806,0.722222222222222,1,0,0,0,0,0
"WPSA.L.80.3",8469,"Joseph Hardy",80,2,"R",2,"Sen","SD-012",78,32,5.11538461538461,2,0.68189260187384,0.777777777777778,1,0,0,0,1,0
"WPSA.L.81.2",8469,"Joseph Hardy",81,2,"R",2,"Sen","SD-012",90,20,4.5,3,0.605524464957543,0.5,1,0,0,0,1,0
"WPSA.L.82.2",8469,"Joseph Hardy",82,2,"R",2,"Sen","SD-012",1,0,4,4,0.222222222222222,0.222222222222222,1,0,0,0,0,0
"WPSA.L.77.4",8470,"James Settelmeyer",77,2,"R",2,"Sen","SD-017",103,22,12.3495145631068,8,0.672899442361689,0.75,1,0,0,0,0,0
"WPSA.L.78.3",8470,"James Settelmeyer",78,2,"R",2,"Sen","SD-017",78,18,9.62820512820513,5.5,0.789413885744781,1,1,0,0,0,1,1
"WPSA.L.79.4",8470,"James Settelmeyer",79,2,"R",2,"Sen","SD-017",67,20,9.74626865671642,5,0.707853615731903,0.88235294117647,1,0,0,0,1,1
"WPSA.L.80.4",8470,"James Settelmeyer",80,2,"R",2,"Sen","SD-017",83,29,6.02409638554217,2,0.714279922089208,0.952380952380952,1,0,0,0,1,1
"WPSA.L.81.3",8470,"James Settelmeyer",81,2,"R",2,"Sen","SD-017",79,25,5.08860759493671,2,0.688230926109297,0.875,1,0,0,0,1,1
"WPSA.L.77.5",8471,"Melissa Woodbury",77,2,"R",1,"Rep","HD-023",54,3,21.7037037037037,16,0.826977285332597,0.897368421052632,1,0,0,1,0,0
"WPSA.L.78.4",8471,"Melissa Woodbury",78,2,"R",1,"Rep","HD-023",30,5,17.0333333333333,15,0.773434329609061,0.870833333333333,1,0,0,1,0,0
"WPSA.L.79.5",8471,"Melissa Woodbury",79,2,"R",1,"Rep","HD-023",20,5,25.45,14.5,0.713354925303455,0.650793650793651,1,0,0,1,1,1
"WPSA.L.77.6",8472,"Lynn Stewart",77,2,"R",1,"Rep","HD-022",112,12,14.7142857142857,11.5,0.754665812780887,0.833333333333333,1,0,0,0,1,1
"WPSA.L.78.5",8472,"Lynn Stewart",78,2,"R",1,"Rep","HD-022",55,9,13.8,11,0.724372922234745,0.764705882352941,1,0,0,0,0,0
"WPSA.L.79.6",8472,"Lynn Stewart",79,2,"R",1,"Rep","HD-022",1,0,5,5,0.833333333333333,0.833333333333333,1,0,0,0,0,0
"WPSA.L.77.7",8474,"Mark Manendo",77,1,"D",2,"Sen","SD-021",90,12,12.4888888888889,9,0.660324891513714,0.666666666666667,0,1,0,0,0,0
"WPSA.L.78.6",8474,"Mark Manendo",78,1,"D",2,"Sen","SD-021",105,11,9.86666666666667,7,0.670896041398409,0.714285714285714,0,1,0,0,0,0
"WPSA.L.79.7",8474,"Mark Manendo",79,1,"D",2,"Sen","SD-021",123,13,9.26829268292683,7,0.613817949931665,0.647058823529412,0,1,0,0,0,0
"WPSA.L.80.5",8474,"Mark Manendo",80,1,"D",2,"Sen","SD-021",3,0,9.33333333333333,8,0.738461538461539,0.75,0,1,0,0,0,0
"WPSA.L.77.8",8488,"Sheila Leslie",77,1,"D",2,"Sen","SD-001",2,1,3.5,3.5,0.875,0.875,0,1,0,1,0,0
"WPSA.L.77.9",8490,"John Oceguera",77,1,"D",1,"Rep","HD-016",2,0,8.5,8.5,0.636904761904762,0.636904761904762,0,1,0,0,0,0
"WPSA.L.77.10",8491,"Joseph Hogan",77,1,"D",1,"Rep","HD-010",55,3,14.5272727272727,9,0.626458944115941,0.666666666666667,0,1,0,0,0,0
"WPSA.L.78.7",8491,"Joseph Hogan",78,1,"D",1,"Rep","HD-010",1,0,15,15,0.9375,0.9375,0,1,0,0,0,0
"WPSA.L.79.8",8493,"Richard McArthur",79,2,"R",1,"Rep","HD-004",17,3,20.2352941176471,13,0.698725702402173,0.73015873015873,1,0,0,0,0,0
"WPSA.L.81.4",8493,"Richard McArthur",81,2,"R",1,"Rep","HD-004",40,3,12.65,10.5,0.720187436799489,0.771241830065359,1,0,0,0,0,0
"WPSA.L.82.3",8493,"Richard McArthur",82,2,"R",1,"Rep","HD-004",23,3,11.4347826086957,11,0.73671758997846,0.857142857142857,1,0,0,0,0,0
"WPSA.L.77.11",8494,"Marcus Conklin",77,1,"D",1,"Rep","HD-037",3,0,5.33333333333333,5,0.466269841269841,0.375,0,1,0,0,0,0
"WPSA.L.77.12",8496,"Marilyn Dondero Loop",77,1,"D",1,"Rep","SD-008",55,7,10.1090909090909,8,0.531975378282108,0.53968253968254,0,1,0,1,0,0
"WPSA.L.80.6",8496,"Marilyn Dondero Loop",80,1,"D",2,"Sen","SD-008",1,0,NA,NA,NA,NA,0,1,0,1,0,0
"WPSA.L.81.5",8496,"Marilyn Dondero Loop",81,1,"D",2,"Sen","SD-008",34,14,5.41176470588235,2.5,0.539366744366744,0.5,0,1,0,1,1,1
"WPSA.L.82.4",8496,"Marilyn Dondero Loop",82,1,"D",2,"Sen","SD-008",65,15,5.58461538461538,5,0.404873641974298,0.4,0,1,0,1,0,0
"WPSA.L.77.13",8497,"William Horne",77,1,"D",1,"Rep","HD-034",60,11,12.9333333333333,7,0.522241949573396,0.526610644257703,0,1,0,0,1,1
"WPSA.L.77.14",8498,"Marilyn Kirkpatrick",77,1,"D",1,"Rep","HD-001",105,16,8.87619047619048,5,0.596305705117619,0.608695652173913,0,1,0,1,1,1
"WPSA.L.78.8",8498,"Marilyn Kirkpatrick",78,1,"D",1,"Rep","HD-001",72,17,5.73611111111111,4,0.566110938307526,0.532388663967611,0,1,0,1,1,1
"WPSA.L.77.15",8500,"James Ohrenschall",77,1,"D",1,"Rep","HD-012",79,13,12.4683544303797,8,0.703893465598598,0.709677419354839,0,1,0,0,0,0
"WPSA.L.78.9",8500,"James Ohrenschall",78,1,"D",1,"Rep","HD-012",62,11,10.5967741935484,7.5,0.665646064158988,0.685855263157895,0,1,0,0,0,0
"WPSA.L.79.9",8500,"James Ohrenschall",79,1,"D",1,"Rep","HD-012",74,17,11.1891891891892,4,0.685923168657032,0.75,0,1,0,0,0,0
"WPSA.L.80.7",8500,"James Ohrenschall",80,1,"D",2,"Sen","SD-021",96,20,6.61458333333333,5,0.707633803072166,0.803846153846154,0,1,0,0,0,0
"WPSA.L.81.6",8500,"James Ohrenschall",81,1,"D",2,"Sen","SD-021",55,18,6.83636363636364,3,0.693208887567176,0.777777777777778,0,1,0,0,0,0
"WPSA.L.82.5",8500,"James Ohrenschall",82,1,"D",2,"Sen","SD-021",96,21,8.125,7,0.735784389820558,0.8,0,1,0,0,0,0
"WPSA.L.77.16",8501,"Debbie Smith",77,1,"D",2,"Sen","SD-013",76,17,11.4868421052632,7,0.620187626691018,0.713709677419355,0,1,0,1,1,0
"WPSA.L.78.10",8501,"Debbie Smith",78,1,"D",2,"Sen","SD-013",48,17,10.6875,6.5,0.532452831137424,0.599358974358974,0,1,0,1,1,0
"WPSA.L.77.17",8502,"Moises Denis",77,1,"D",2,"Sen","SD-002",84,25,8.32142857142857,3,0.449252234372871,0.333333333333333,0,1,0,0,1,1
"WPSA.L.78.11",8502,"Moises Denis",78,1,"D",2,"Sen","SD-002",108,12,7.71296296296296,6,0.561022952542447,0.547727272727273,0,1,0,0,0,0
